Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment: Transmission: Synchronous transmission,Equipment: bolt size hitch (mm): 32mm,Equipment: hitch: manually,Equipment: Reverse motion without pressure,Equipment: Air conditioner,Equipment: radio,Equipment: Top speed in km/h: 40 km/h,Equipment: Hydraulic brake valve,Equipment: emission stage: Tier3,Equipment: Front loader,Equipment: PowerShuttle,Equipment: Suspended tractor cabin (cab suspension),Equipment: Transmission: Continuously variable transmission,Equipment: Front PTO (power take-off),Equipment: Joystick: electric,Equipment: PTO shaft speed (rpm): 540E/1000,Equipment: Pneumatic (air) brake,Equipment: Platform: Cabin,Equipment: vehicle papers,Equipment: Drive: All-wheel drive,Equipment: PTO shaft speed (rpm): 540/540E/1000,Equipment: Three-point hitch (electronic hitch control),Equipment: Front loader console,Equipment: Top speed in km/h: 30 km/h,Equipment: external operation rear hydraulcs,Equipment: PTO shaft speed (rpm): 540/540E,Equipment: Supercharger: Turbocharger,Equipment: bolt size hitch (mm): 38mm,Equipment: Transmission: PowerShift transmission,Equipment: Creep speed,Equipment: top link rear: mechanically,Equipment: PTO shaft speed (rpm): 540/1000,Equipment: AdBlue,Equipment: Joystick: mechanically,Equipment: external operation PTO,Equipment: Air-suspended seat,Equipment: hitch: automatic,Equipment: 4-wheel brake,Equipment: Suspended front axle,Equipment: PTO shaft speed (rpm): 540,Equipment: ISOBUS,Equipment: emission stage: Tier5,Equipment: top link rear: hyraulic,Equipment: Exhaust brake,Equipment: Top speed in km/h: 50 km/h,Equipment: Front hydraulic equipment,Equipment: PTO shaft speed (rpm): 540/540E/1000/1000E,Equipment: Supercharger: Turbocharger with intercooler,Equipment: PTO shaft speed (rpm): 540/750,Equipment: ground drive p.t.o.,Spec: count of work lights rear,Spec: Working hours:,Spec: Front tire tread depth (%),Spec: Control units - DW (total),Spec: Front tire specifications,Spec: Rear tire tread depth (%),Spec: Maximum allowed weight (kg),Spec: Type:,Spec: Rear tire specifications,Spec: Control units – EW (total),Spec: count of previous owners,Spec: Payload/ carrying capacity (kg),Spec: Year of construction:,Spec: Condition state:,Spec: number of cylinders,Spec: serial number/chassis number,Spec: Control units – DW (electrical),Spec: Own weight (kg),Spec: hp:,Spec: count of work lights front
McCormick CX 80 T3  L,EUR 36.500,,"32.300,88 excl. VAT/ mediation", 75 hp/56 kW,2013,740,Landtechnik Eidenhammer GmbH,5274 Burgkirchen,https://static.landwirt.com/3517-f3b4b7d0e70ba617559f75c6121462b1-4284591-1.jpg,"Drive: All-wheel drive, 40 km/h, Turbocharger, Front hydraulic equipment, Platform: Cabin, bolt size hitch (mm): 32mm, hitch: manually, radio, ...","https://www.landwirt.com/en/used-farm-machinery,4284591,McCormick-CX-80-T3-L.html","Mc Cormick CX80L
- in serienmäßiger Ausführung
- BJ 2013 / 740 BH
- Hubraum 3,4l - 4 Zylinder Motor 75 PS
- mit Komfortkabine - Heizung/Lüftung
- Ber. 420/70R30 u. 360/70R20 90%
- Synchronwendegetriebe 15V + 15R 40km/h
- 2 Steuergeräte 4 Anschlüsse
- Hydrac Fronthubwerk m. Einhebelsteuergerät
- 2 Leitungen n. vo.
- Niedrige Bauhöhe 2,38 m
STANDORT ST. VEIT I. PG. !! PROMPT VERFÜGBAR !!",,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,740 h,90,,CX 80 T3  L,420/70R30,2,360/70R20,90,,2013,Good (condition state 2),,,,75 hp / 56 kW,,,,,
McCormick MTX 140,EUR 43.911,,36.900 excl. VAT 19%, 147 hp/109 kW,2001,11900,,,https://static.landwirt.com/3586-f2c4c3bdc1ec13cdff3d89d3a5568da9-4271924-0.jpg,"Suspended front axle, Air conditioner, PowerShuttle, Drive: All-wheel drive, PowerShift transmission, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4271924,McCormick-MTX-140.html","Geschwindigkeit: 40, 
Gänge vorwärts: 16, 
Gänge rückwärts: 12, 
Erstzulassung: 2001, 
Laststufen: 4, 
Druckluftanlage (1-Kreis), 
Druckluftanlage (2-Kreis), 
Arbeitsscheinwerfer 2x hinten, 
Arbeitsscheinwerfer 2x vorn, 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Oberlenker mechanisch (hinten), 
Frontkraftheber (ohne Oberlenker)
________
FKH, HVAK, Klima, Radio, 1 Satz Pflegeräder",,Yes,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,147 hp / 109 kW,,,,,,11900 h,60,,MTX 140,580/70R38,3,480/70R24,5,,2001,,,,
McCormick X7.670 VT-Drive T4 final,,,, 176 hp/130 kW,2019,1500,,,https://static.landwirt.com/4839-19f30c01855c8abe447699fff5c73550-4264009-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4264009,McCormick-X7670-VT-Drive-T4-final.html","Der McCormick X7.670 VT-Drive T4 final ist ein leistungsstarker Standardtraktor mit 176 PS und einem Baujahr von 2019. Mit nur 1500 Betriebsstunden ist er in einem besonders guten Zustand (Klasse 1). Ausgestattet mit einem stufenlosen Getriebe und Allradantrieb bietet der Traktor eine Höchstgeschwindigkeit von 50 km/h. Weitere Features sind eine Turbolader mit Ladeluftkühlung, elektrische Kreuzsteuerhebel, eine Druckluftbremse, Fronthydraulik und Frontzapfwelle, gefederte Vorderachse, Klimaanlage, Kriechgang, EHR, Motorstaubremse, Luftsitz, 4-Rad Bremse, druckloser Rücklauf, Powershuttle, Kabinenfederung, AdBlue und ISOBUS. Mit einer Zapfwellendrehzahl von 540/540E/1000/1000E ist der Traktor vielseitig einsetzbar und bietet dem Landwirt eine hohe Flexibilität.",,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,Yes,,Yes,,,,,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,,,,,Yes,1500 h,70,6,X7.670 VT-Drive T4 final,710/65/42,6,600/65/30,70,12500,2019,Very good (condition state 1),,1,5000,176 hp / 130 kW,10,6,,6,7500
McCormick C95 Max,,,, 95 hp/70 kW,,2800,,,,"Drive: All-wheel drive, PTO shaft speed (rpm): 540, ...","https://www.landwirt.com/en/used-farm-machinery,4239848,McCormick-C95-Max.html","Standardkabine - Segmentscheibenwischer - Rücklauf Heck drucklos - Steuergeräte 2x DW - Zugmaul - ""Alle Angaben ohne Gewähr"" - *Für weitere Informationen - kontaktieren Sie uns gerne* - hydraulische Lenkung - Reifen Hersteller: Trelleborg - Anzahl Zylinder: 4 - Auspuff: oben - Hydraulische Anhängerbremse - Radio - Halter Rundumkennleuchte: links - Rundumkennleuchte: links - Wendeschaltung: mechanisch - Kabinenart: Standard -",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,95 hp / 70 kW,,,,2800 h,90,,80,,C95 Max,270/95R48,2,270/95R32,,,,,
"McCormick X2,30",EUR 32.500,,"27.310,92 excl. VAT 19%", 48 hp/36 kW,2022,,,,https://static.landwirt.com/4148-5f18b33e61957d2e96c47cc236c90b02-4230774-0.jpg,"Drive: All-wheel drive, 30 km/h, Creep speed, Platform: Cabin, ...","https://www.landwirt.com/en/used-farm-machinery,4230774,McCormick-X230.html",,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,,100,,"X2,30",,3,,,2022,,,,,,48 hp / 36 kW,,,,100,
McCormick X6.415 P6-Drive,EUR 116.620,,98.000 excl. VAT 19%, 155 hp/114 kW,2023,5,,,https://static.landwirt.com/6195-b894793a2117f93ba523f0988b1d05d8-4209726-0.jpg,"Drive: All-wheel drive, 50 km/h, Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, Turbocharger with intercooler, emission stage: Tier5, ...","https://www.landwirt.com/en/used-farm-machinery,4209726,McCormick-X6415-P6-Drive.html","Mc Cormick X6.415 P6 
Motor FPT NEF 45, max. Leistung 135 PS / 100 kW, mit Boost 145 PS / 107 kW (ISO TR14396),
4.500 cm³, 4 Zylinder, 16 Ventile, Stufe V, TACR, HI-eSCR2
Stop & Action
Getriebe mit Höchstgeschwindigkeit 50 km/h, Begrenzung auf 40 km/h Eco möglich
P6-Drive Getriebe, 24/24-Gang-Getriebe mit 6 Lastschaltstufen, 4 Gänge und RPS
Elektrohydraulische Wendeschaltung (RPS)
Zapfwelle 540/540E/1000/1000E U/min
Zapfwelle elektrohydraulisch
Allradvorderachse Hydralock gefedert mit integrierter Vorderachsbremse
Dreipunkt Kat. 3 mit Schnellkupplern
Elektronische Hubwerksregelung EHR mit Bedienknöpfen am hinteren Kotflügel(inkl.
Automatisches Zapfwellenmanagement
CCLS Load Sensing Hydraulikanlage mit Verstellkolbenpumpe 114 l/min + 44 l/min
Zahnradpumpe für die Lenkung
5 Steuergeräte im Heck (1 x Schwimm. mit Mengenregler, 1 x Kickout / Schwimm. mit
Mengenregler, 1 x Std mit Mengenregler, 2 x elektronisch)
Druckluftbremsanlage 2-Kreis-System
Anhängerkupplung, Zugmaul automatisch mit Bolzen 38 mm, drehbar, Höhenverstellung
Deluxe-Fahrersitz luftgefedert, schwenkbar, mit Armlehnen, Sicherheitsgurt und OPS
Beifahrersitz
Teleskopaußenspiegel und Rückspiegel in der Kabine
High Vision"" Kabine mit Panoramadach, Sonnenrollo und ausstellbarer Dachscheibe
Klimaanlage
High Vision Panoramadach mit zusätzlich zu öffnender Dachluke
Smart Pilot PLUS Joystick mit Armlehne für Steuerung von: Getriebe, Heckkraftheber &
Zapfwelle, RPS, HMF, Motordrehzahlspeicher, Steuergeräte
10 Halogenleuchten: 4 Dach vorne, 4 Dach hinten, 2 Motorhaube
480/65R28 - 600/65R38 - Festfelgen",Yes,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,,2023,Very good (condition state 1),,0,2,,155 hp / 114 kW,6,4,,5 h,100,4,100,,X6.415 P6-Drive,600/65R38,5,480/65R28
McCormick MC 130,EUR 59.500,,"52.654,87 excl. VAT/ mediation", 130 hp/96 kW,2012,4050,Christoph Heindl Landtechnik GmbH,3321 Stephanshart,https://static.landwirt.com/3468-7cb1537a743a2052a146ac33b1803d9f-3566826-0.jpg,"Drive: All-wheel drive, 40 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/1000, ...","https://www.landwirt.com/en/used-farm-machinery,3566826,McCormick-MC-130.html","McCormick MC130 in sehr gutem Zustand !

- 16/16 Gang Getriebe = 4 Gänge 4 Lastschaltstufen
- Powershuttle
- hydr. Bremse
- 5x dw Steuergeräte + druckloser Rücklauf
- Fronthydraulik (+1dw vorne) inkl. Abstützung nach hinten
- Frontzapfwelle 
- Klimaanlage
- Luftsitz
- Zapfwelle 540/1000
- automatische Anhängekupplung
- hydr. Oberlenker
- Bereifung 600 65 R38 und 480 65 R 28 
- Dach mit Glasluke
- volles Scheinwerferpaket
- Erstbesitz
- Serviceheftgepflegt; jedes Service in Fachwerkstätte durchgeführt
- 4 Zylinder ohne AdBlue

Der Preis der Maschine bezieht sich auf den technischen Zustand und die Ausrüstung wie lagernd. Standort Albersberg.
Aus etwaigen Irrtümern und falschen Angaben entstehen keinerlei Ansprüche.",,Yes,,,Yes,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,Yes,,Yes,4050 h,60,,480 65 R28,60,,MC 130,600 65 R38,5,1,,2012,,,,,,130 hp / 96 kW,,4
McCormick X5.40,,,, 107 hp/79 kW,2022,5,,,https://static.landwirt.com/4981-99b1ff1b3138869ebe97da89b8916e0d-4128027-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4128027,McCormick-X540.html","McCormick traktor,  Krone bálázó KC-Békés Kft

Kedves Gazdálkodók!

A KC-BÉKÉS KFT. új és használt mezőgazdasági gépek, alkatrészek és traktorok értékesítésével, országos szállítással, rövid határidőn belül, szerviz, hitel, lízing és pályázati lehetőséggel áll az Önök rendelkezésére. Leírás (műszaki adatok, dimenzió vagy egyéb fontos paraméter):

MC.Cormick X.5 traktor, illetve Krone bálázó eladó. Bármely méretben és típusban megtekinthető telephelyünkön. Keresse kollégáinkat, hogy a legjobb árat adhassuk Önöknek.

Érdeklődni:
Kukla László: 303529994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,107 hp / 79 kW,,,,,,5 h,,,X5.40,,,,,
McCormick CX 105,EUR 36.000,,30.000 excl. VAT 20%, 101 hp/75 kW,2005,9660,Leopold Lunzer GesmbH,2572 Kaumberg,https://static.landwirt.com/3510-c61d34ce6bf15c1c36315b0520bccc5c-4099256-0.jpg,"Drive: All-wheel drive, 40 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Pneumatic (air) brake, Air conditioner, ...","https://www.landwirt.com/en/used-farm-machinery,4099256,McCormick-CX-105.html","McCormick CX105 - Allrad, 3 Steuergeräte, 40 km/h, Lastschaltgetriebe, Synchrongetriebe, EHR, hydr. Bremsventil, Powershuttle, Frontzapfwelle, Klimaanlage, Fronthydraulik, Druckluftbremse, Einhebelsteuerung für FH, mit HA-Hydrac abnehmbar, Lastschaltung + Powershuttle, Bereifung: 440/65-24   80 % VF; 600/34 90% Fixfelge.",,,,,,,,Yes,,,,Yes,,,,,Yes,Yes,,Yes,,,,Yes,,Yes,,,Yes,,,,,Yes,,,,,,,Yes,,,,,,,,,,9660 h,80,,CX 105,600/65-34,,440/65-24,90,,2005,,,,,101 hp / 75 kW,,,,,
McCormick X6.135 Xtrashift,EUR 89.000,,"74.166,67 excl. VAT 20%", 127 hp/94 kW,2024,10,,,https://static.landwirt.com/3566-2d1b4b3e1dc47fa7dffd6d5f8615da1f-4101513-0.jpg,"Drive: All-wheel drive, 40 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4101513,McCormick-X6135-Xtrashift.html","Motor FPT F36, 127PS,
36/12 Getriebe, 3fach Powershift 40 km/h
Vierradbremse, EHR mit Zapfwellenautomatik,
Anhängekupplung 38mm, 
110 lt. Loadsensing, 5 Steuergeräte,
Luftsitz, Beifahrersitz, Klima,
2 Leiter DL, 4fach Zapfwelle,
LED Arbeitsscheinwerfer
Bauhöhe 273cm",Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,,,,100,,X6.135 Xtrashift,540/65R38,5,480/65R24,,2024,Very good (condition state 1),,,,,127 hp / 94 kW,,,,10 h,100,
McCormick C 100 MAX,EUR 42.245,,35.500 excl. VAT 19%, 93 hp/69 kW,2014,2889,,,https://static.landwirt.com/4112-166fe29e3967df282ac1b08b6783e964-4037240-0.jpg,"40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4037240,McCormick-C-100-MAX.html","Geschwindigkeit: 40, 
Erstzulassung: 04.08.2015
________
24/12 40 km/h - Schaltgetriebe,
Zapfwelle: 540/540E U/min.,
2 dw. Steuergeräte,
Klimaanlage,
Oberlenker Heck,
autom. Anhängekupplung,
Frontlader (Alö Quicke Q39),
Einhebelsteuergerät (mech.),
3. Steuerkreis,
Hydrofix,",,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,93 hp / 69 kW,,,2889 h,1,,440/65R24,50,,C 100 MAX,540/65R34
McCormick X5.085,,,, 75 hp/56 kW,2023,2,Argo GmbH,4490 Oberweidelham,https://static.landwirt.com/8263-543992d6b2d6a39ae531bcbe91c95fd4-3959497-0.jpg,"Drive: All-wheel drive, 40 km/h, Turbocharger, Three-point hitch (electronic hitch control), PTO shaft speed (rpm): 540/540E/1000, top link rear: mechanically, Joystick: mechanically, hitch: automatic, ...","https://www.landwirt.com/en/used-farm-machinery,3959497,McCormick-X5085.html","Zum Verkauf steht ein neuer McCormick X5.085

FPT 4-Zylinder 3.4Ltr. 75PS, 380Nm, ohne AdBlue
Getriebe: 24x24 mit 2 fach Lastschaltung,PowerShuttle und elektr. Kupplungsbetätigung über Schalthebel
Hydraulikpumpe 56 l./min. (Lenkung 32 l./min.)
Heckkraftheber MHR mit 3.900kg
Räder 480/70 R30 und 380/70 R20

Optional inkl. Montage:

Frontlader: 8.000€ netto
Frontkraftheber: 3.000€ netto
(Frontzapfwelle: 2.500€ netto)

Preis ist netto zzgl. MwSt.",,,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,2 h,100,2,,X5.085,480/70 R30,5,380/70  R20,100,2023,Very good (condition state 1),,,,,75 hp / 56 kW,2,4,,
McCormick X5.100,EUR 91.500,,76.250 excl. VAT 20%, 95 hp/70 kW,2023,60,,,https://static.landwirt.com/3406-7ac8fe62ebb539c427ea27cdd9c78a96-3974908-0.jpg,"Drive: All-wheel drive, 40 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, Front PTO (power take-off), PTO shaft speed (rpm): 540/540E/1000/1000E, top link rear: mechanically, Joystick: mechanically, ...","https://www.landwirt.com/en/used-farm-machinery,3974908,McCormick-X5100.html","* Vorführmaschine baugleich mit Landini 5-100
* FPT-Motor mit 3,6Liter Hubraum
* 40km/h mit reduzierter Drehzahl
* Power-Shuttle-Getriebe mit 3-fach Lastschaltung
* 4-Radbremse im Ölbad an Vorder- und Hinterachse
* automatische Allradzuschaltung bei Bremsen
* elektrohydraulische Zapfwellenbedienung
* Heckhubwerk mit Zusatzhubzylinder, 4,5t Hubleistung und EHR
* 62 l/min + 32 l/min Hydraulikpumpe offenes System
* Frontkraftheber + Frontzapfwelle 1000U/min
* Kabine mit Klimaanlage, Heizung, Heckscheibenwischer und mechanischer Kabinenfederung
* 2-Kreis hydraulische Anhängerbremse
* 2-Leiter Druckluftbremsanlage",Yes,,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,X5.100,540/65R34,5,440/65R24,99,7000,2023,Very good (condition state 1),,0,2600,95 hp / 70 kW,4,4,ZNZVD57C0P0017069,0,4400,60 h,99,2
McCormick X6.414 P6-Drive,EUR 135.000,,112.500 excl. VAT 20%, 146 hp/108 kW,2023,10,,,https://static.landwirt.com/3566-8c6dd2b479925b3c7c126b8516c2d641-3874922-2.jpg,"Drive: All-wheel drive, 50 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, Front PTO (power take-off), PTO shaft speed (rpm): 540/540E/1000/1000E, top link rear: hyraulic, Joystick: electric, ...","https://www.landwirt.com/en/used-farm-machinery,3874922,McCormick-X6414-P6-Drive.html","FPT 4.5lt engine Stage V
P6 24/24 transmission with automatic mode,
4x PTO shaft, Cat 3 quick coupler,
automatic Towing hitch, deluxe driver's seat,
Passenger seat, radio, 5 electric. control devices,
found Front axle 50 km/h, FH+FZW,
hydr. Top link, automatic side stabilizers,
2 conductor DL, automatic air conditioning, mech. cabin suspension,
Smart Pilot PLUS joystick with armrest for controlling the transmission, rear power lift & PTO, RPS, HMF, engine speed memory and control devices, 14 LED headlights, 12 inch Isobus monitor, pre-equipment steering system,
480/65R28 - 600/65R38",Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,,2023,,,,,,146 hp / 108 kW,,,,10 h,,,,,X6.414 P6-Drive,,,
McCormick X5.085,EUR 55.900,,"46.974,79 excl. VAT 19%", 75 hp/56 kW,2023,,,,https://static.landwirt.com/3581-d7e150ed15679fcfb2fec3195ac1b5ed-3887965-0.jpg,"Drive: All-wheel drive, 40 km/h, PTO shaft speed (rpm): 540/750, bolt size hitch (mm): 38mm, top link rear: mechanically, Joystick: mechanically, hitch: automatic, PowerShift transmission, ...","https://www.landwirt.com/en/used-farm-machinery,3887965,McCormick-X5085.html","McCormick X5.085 Traktor -FPT Motor 4 Zylinder 3400cm³ 75PS / 55KW Abgasstufe 5 ohne AdBlue -24/24 Gang-Getriebe 2-fach Lastschaltung -elektrohydr. Wendeschaltung 40 km/h -Zapfwelle 540 / 750 elektrohydr. schaltbar -externe Zapfwellenschaltung am Kotflügel li und re. -elektrohydr. Allradschaltung -Kraftheber m. mech. Hubwerksregelung -2 Zusatzhubzylinder -externe Bedienung am Kotflügel hinten rechts -Kabine m. ausstellbare Frontscheibe Luftsitz Beifahrersitz Radiovorbereitung ausstellbares Glasdach m. Sonnenblende -4 Arbeitsscheinwerfer -Teleskop-Außenspiegel -2Zusatzsteuergeräte ew/dw hinten 1 Kreuzhebelsteuergerät ew/dw f. Frontlader
-automat. Anhängekupplung schnellhöhenverstellbar -Bereifung 380/70R20 vorn 480/70R30 hinten",,,,Yes,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,Yes,Yes,,,,,,Yes,,,,,Yes,,,,,,Yes,,Yes,,,480/70R30,3,380/70R20,,,X5.085,Very good (condition state 1),3,,,2023,2,4,,,,75 hp / 56 kW,,2,
McCormick 323,EUR 5.900,,VAT not applicable, 26 hp/20 kW,1968,6272,,,https://static.landwirt.com/5076-b58e801f3d40d917abbfd79965d885c0-3869516-0.jpg,"Front hydraulic equipment, ...","https://www.landwirt.com/en/used-farm-machinery,3869516,McCormick-323.html",#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,26 hp / 20 kW,,,,,6272 h,60,,,323,11.2-28,,5.50-16,60,1968,,,,
McCormick MTX 135,EUR 33.915,,28.500 excl. VAT 19%, 135 hp/100 kW,2004,9522,,,https://static.landwirt.com/4111-d1aa0cb8d9169fad84edec1a5c65049e-3810714-0.jpg,"Front hydraulic equipment, Air conditioner, Air-suspended seat, Pneumatic (air) brake, Three-point hitch (electronic hitch control), PTO shaft speed (rpm): 540/1000, Drive: All-wheel drive, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,3810714,McCormick-MTX-135.html","Geschwindigkeit: 40, 
Gänge vorwärts: 16, 
Gänge rückwärts: 12, 
Motor-Zylinderanzahl: 6, 
Arbeitsscheinwerfer 4x hinten, 
Arbeitsscheinwerfer 4x vorn, 
Frontgewichte, 
Heizung, 
Kabine, 
Teil-Lastschaltgetriebe, 
Wendeschaltung, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Heckzapfwelle-Außenbedienung, 
Oberlenker mechanisch (hinten)
________
FPT 6 Zylinder,
16+12 - 40km/h,
540/1000 U/min.,
Komfortkabine mit Klimaanlage,,
3x DW-Steuergeräte, Druckluft 1+2,
EHR, Frontkraftheber mit Gewicht.

Gerne kümmern wir uns auch um den Transport Ihrer neuen Maschine und liefern diese gegen Mehrpreis bei Ihnen an!

Preis gilt für vorhandenen Zustand. Angebot freibleibend. Irrtümer, Änderungen und Zwischenverkauf vorbehalten. Alle Angaben ohne Gewähr.",Yes,,,,,,,,,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,Yes,,,,2004,,,,,,135 hp / 100 kW,,,,9522 h,30,,50,,MTX 135,520/85R38,3,420/85R28
McCormick X7.460 VT-Drive,,,, 166 hp/123 kW,2017,1620,,,https://static.landwirt.com/6195-991e2309dffef9c76dc1e756e2705059-3721871-0.jpg,"Drive: All-wheel drive, 50 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, Front PTO (power take-off), PTO shaft speed (rpm): 540/540E/1000/1000E, bolt size hitch (mm): 38mm, top link rear: hyraulic, ...","https://www.landwirt.com/en/used-farm-machinery,3721871,McCormick-X7460-VT-Drive.html","McCormick needed,
Type: X7.460 VT Drive
FPT BetaPower T4i-4Zyl.-4,500cm³ 122kW/166PS (Power Plus 129kW/175PS)
Tires: 520/60 R 28 fixed rims 650/60 R 38 fixed rims
VT-Drive continuously variable transmission
Multifunctional armrest operation with EasyPilot control lever
Maximum speed 50 km/h - limit to 40 km/h Eco possible
All-wheel front axle with independent suspension IFS
Compressed air brake system 2-circuit system
PTO shaft hydraulic 540 / 540E / 1000 / 1000E rpm
Automatic PTO management (cab/fender)
Three-point Cat. 3 with quick couplers, hydraulic top link
Electronic hitch control EHR
AHK, automatic towing hitch, rotatable, height adjustment 8 times (without ball head coupling)
CCLS load sensing hydraulic system with axial rotary lobe pump 123 l/min + 44 l/min
Cab PREMIERE CAB with hydraulic cab suspension
Automatic climate control
Deluxe driver's seat with low frequency air suspension
swiveling, automatic. Height adjustment, seat belt, lumbar support, headrest
HIDE AWAY p",,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,Yes,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,5,,166 hp / 123 kW,,,1620 h,80,,520/60R28,80,,X7.460 VT-Drive,650/60R38,,,,2017,Very good (condition state 1)
