Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details
Deutz Fahr 6140.4 (Stage V),EUR 116.904,EUR 120.520,97.420 excl. VAT 20%," 147 hp/109 kW"," 2023"," 5",Deutz Fahr Austria Gesellschaft m.b.H.,1230 Wien,https://static.landwirt.com/3188-b007748bcc121842f65b6193e9e241b5-4483707-0.jpg,"Drive: All-wheel drive, 50 km/h, Front PTO (power take-off), Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000, Turbocharger with intercooler, ..."
Lindner Lintrac 100,EUR 151.960,EUR 156.660,," 117 hp/87 kW"," 2024"," 50",Lindner Traktorenwerk GesmbH,6250 Kundl/Tirol,https://static.landwirt.com/3289-187f882aa0be6a93aad7bd76e8424d7e-4474499-0.jpg,"Suspended tractor cabin (cab suspension), 4-wheel brake, Front hydraulic equipment, Front PTO (power take-off), Front loader console, ..."
Lindner Lintrac 115 LS,EUR 105.040,EUR 110.568,87.533 excl. VAT 20%," 112 hp/83 kW"," 2020"," 501",Lindner Traktorenwerk GesmbH,6250 Kundl/Tirol,https://static.landwirt.com/3289-0f4ebe0ee2c0e165de8364fa2ae6132a-4474498-0.jpg,"Suspended tractor cabin (cab suspension), 4-wheel brake, Front hydraulic equipment, Front PTO (power take-off), Front loader console, ..."
Lindner Lintrac 130,EUR 151.320,EUR 156.000,126.100 excl. VAT 20%," 136 hp/100 kW"," 2022"," 50",Lindner Traktorenwerk GesmbH,6250 Kundl/Tirol,https://static.landwirt.com/3289-9f1b9c878973630863efcc4bec05aadd-4474159-0.jpg,"Suspended tractor cabin (cab suspension), Front hydraulic equipment, Front PTO (power take-off), Front loader console, ..."
Lindner Lintrac 80,EUR 157.350,EUR 162.216,131.125 excl. VAT 20%," 101 hp/75 kW"," 2023"," 50",Lindner Traktorenwerk GesmbH,6250 Kundl/Tirol,https://static.landwirt.com/3289-aa21c536beeef5b596d1fb6a42bbb19b-4472725-0.jpg,"Air conditioner, Suspended tractor cabin (cab suspension), 4-wheel brake, Front hydraulic equipment, Front PTO (power take-off), ..."
Lindner Lintrac 130,EUR 142.790,EUR 148.740,118.992 excl. VAT 20%," 136 hp/100 kW"," 2022"," 501",Lindner Traktorenwerk GesmbH,6250 Kundl/Tirol,https://static.landwirt.com/3289-7a38a9238d0d8b18eb2cad1a3e4fafea-4471973-0.jpg,"Suspended tractor cabin (cab suspension), Front hydraulic equipment, Front PTO (power take-off), Front loader console, ..."
Valtra 6200 Mezzo,EUR 25.600,EUR 32.000,22.655 excl. VAT/ mediation," 80 hp/59 kW"," 2006"," 13000",Landmaschinenhandel Ouschan Anton,9102 Mittertrixen,https://static.landwirt.com/4743-9e80838a765f67c6bc34da97a1dd7eb4-4444598-0.jpg,"Drive: All-wheel drive, 40 km/h, Turbocharger, Three-point hitch (electronic hitch control), Synchronous transmission, PTO shaft speed (rpm): 540/1000, emission stage: Tier1, bolt size hitch (mm): 32mm, ..."
Same Virtus 120 Infinty Line,EUR 67.803,EUR 69.900,56.503 excl. VAT 20%," 116 hp/86 kW"," 2013"," 3189",Landtechnik Villach GmbH,9500 Villach,https://static.landwirt.com/3600-2e3043f21febb22a36b1411afbdaa310-4470299-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, ..."
Steyr 6240 CVT Hi-eSCR Profi,EUR 151.320,EUR 156.000,133.912 excl. VAT/ mediation," 241 hp/178 kW"," 2019"," 1800",Markus Bierbauer GmbH,7501 Sieget in der Wart,https://static.landwirt.com/9763-e6ad18d29cc372c641b66ef63aa33489-3791083-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000, Turbocharger with intercooler, ..."
Fendt 714 Vario Profi,EUR 183.168,EUR 190.800,152.640 excl. VAT 20%," 150 hp/111 kW"," 2023"," 40",Markus Bierbauer GmbH,7501 Sieget in der Wart,https://static.landwirt.com/9763-1b97a0481b114571c0adb4cff26d342a-4164246-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, Turbocharger with intercooler, ..."
Steyr 4120 Multi (Stage V),EUR 92.112,EUR 95.950,76.760 excl. VAT 20%," 117 hp/87 kW"," 2024",,Deschberger Karl Landtechnik GesmbH & Co KG,4774 St. Marienkirchen/Sch채rding,https://static.landwirt.com/3248-f408f4259744cc0daafa222600823c92-4269076-0.jpg,"Drive: All-wheel drive, 40 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, ..."
Case IH Farmall 65 A,EUR 34.464,EUR 35.900,28.720 excl. VAT 20%," 65 hp/48 kW",,,Deschberger Karl Landtechnik GesmbH & Co KG,4774 St. Marienkirchen/Sch채rding,https://static.landwirt.com/3248-43952072943b92fc908a21cedc528915-3118525-0.jpg,"Drive: All-wheel drive, 40 km/h, Synchronous transmission, Platform: Without cabin, PTO shaft speed (rpm): 540/540E, Turbocharger with intercooler, Creep speed, ..."
Steyr 4120 Multi,EUR 84.293,EUR 86.900,74.596 excl. VAT/ mediation," 117 hp/87 kW"," 2020"," 1250",,,https://static.landwirt.com/6497-49d450d9d227bec0be455a547672e4d1-4468526-10.jpg,"Drive: All-wheel drive, 40 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, Front PTO (power take-off), PTO shaft speed (rpm): 540/540E/1000/1000E, top link rear: mechanically, Joystick: electric, ..."
Deutz Fahr 5080D Keyline,EUR 54.468,EUR 56.153,48.202 excl. VAT/ mediation," 75 hp/56 kW"," 2022"," 62",,,https://static.landwirt.com/6497-b6f01b987efb06bb503175ff1336d58a-4468491-0.jpg,"Drive: All-wheel drive, 40 km/h, Front hydraulic equipment, PTO shaft speed (rpm): 540/750/1000, top link rear: mechanically, Joystick: electric, PowerShift transmission, Platform: Cabin, ..."
Claas Arion 660 CEBIS CMATIC,EUR 98.843,EUR 101.900,82.369 excl. VAT 20%," 189 hp/139 kW"," 2013"," 4632",,,https://static.landwirt.com/6497-41073688a503fa1d9eb49452d361c26d-4468467-0.jpg,"Drive: All-wheel drive, 50 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, PTO shaft speed (rpm): 540/540E/1000/1000E, top link rear: mechanically, Joystick: electric, hitch: automatic, ..."
Claas Arion 660 CMATIC CEBIS,EUR 143.040,EUR 149.000,119.200 excl. VAT 20%," 175 hp/129 kW"," 2021"," 880",Landtechnik H체tter GmbH & Co KG,8342 Gnas,https://static.landwirt.com/3550-3fa396a9d1dc72063dd8dd71512a8fed-3132124-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, PTO shaft speed (rpm): 540/1000, ..."
Valtra T 254 Active,EUR 84.550,EUR 89.000,74.823 excl. VAT/ mediation," 235 hp/173 kW"," 2018"," 5100",Landtechnik H체tter GmbH & Co KG,8342 Gnas,https://static.landwirt.com/3550-3150a83a986b6ef43014b75d07fc13d9-4030532-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/1000, Turbocharger with intercooler, ..."
Kubota M7133,EUR 108.000,EUR 120.000,90.000 excl. VAT 20%," 150 hp/111 kW"," 2023"," 250",Bruno Beer Ges.m.b.H.,2601 Sollenau,https://static.landwirt.com/3429-41ca72d4409b41f4658ccb3365ee3fd2-4442986-0.jpg,"Drive: All-wheel drive, 50 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, PTO shaft speed (rpm): 540/540E/1000/1000E, top link rear: mechanically, hitch: automatic, PowerShift transmission, ..."
New Holland T7.190 SideWinder II,EUR 116.284,EUR 119.880,96.903 excl. VAT 20%," 200 hp/148 kW"," 2018"," 4796",Landtechnik Villach GmbH,9500 Villach,https://static.landwirt.com/3600-861694716757b9981c36ea1ca356d006-4246941-0.jpg,"Drive: All-wheel drive, 50 km/h, Turbocharger, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, ..."
Antonio Carraro Bitrac HS,EUR 11.155,EUR 11.500,9.872 excl. VAT/ mediation," 29 hp/22 kW",," 920",,,https://static.landwirt.com/3244-f8e379331e4c96f3d2635dac13ec2540-4411564-0.jpg,"25 km/h, Continuously variable transmission, Platform: Tractor hood, Reverse drive system, ..."
